user_id: 100001878, buy_count: 36
user_id: 100011562, buy_count: 3
user_id: 100012968, buy_count: 15
user_id: 100014060, buy_count: 24
user_id: 100024529, buy_count: 26
user_id: 100027681, buy_count: 48
user_id: 100035725, buy_count: 4
user_id: 100039408, buy_count: 1
user_id: 100042340, buy_count: 3
user_id: 10004287, buy_count: 14
user_id: 100067745, buy_count: 12
user_id: 100078685, buy_count: 19
user_id: 100086267, buy_count: 48
user_id: 100090063, buy_count: 6
user_id: 100097997, buy_count: 11
user_id: 100109755, buy_count: 20
user_id: 100111500, buy_count: 2
user_id: 100112744, buy_count: 6
user_id: 100121842, buy_count: 12
user_id: 100128093, buy_count: 11
user_id: 100154665, buy_count: 1
user_id: 100159569, buy_count: 19
user_id: 100185291, buy_count: 9
user_id: 100192152, buy_count: 6
user_id: 10020755, buy_count: 5
user_id: 100211157, buy_count: 3
user_id: 100230080, buy_count: 4
user_id: 100231383, buy_count: 10
user_id: 100234220, buy_count: 6
user_id: 10026124, buy_count: 17
user_id: 100267644, buy_count: 36
user_id: 10027039, buy_count: 7
user_id: 100273837, buy_count: 14
user_id: 100279459, buy_count: 34
user_id: 100288957, buy_count: 39
user_id: 100310156, buy_count: 1
user_id: 10031393, buy_count: 2
user_id: 100326985, buy_count: 9
user_id: 100341858, buy_count: 1
user_id: 100354400, buy_count: 1
user_id: 100366139, buy_count: 16
user_id: 100385360, buy_count: 6
user_id: 100397503, buy_count: 54
user_id: 100415080, buy_count: 14
user_id: 100459462, buy_count: 4
user_id: 100462790, buy_count: 2
user_id: 100497308, buy_count: 8
user_id: 100509623, buy_count: 28
user_id: 100517846, buy_count: 3
user_id: 100522480, buy_count: 1
user_id: 100530696, buy_count: 2
user_id: 100539, buy_count: 18
user_id: 100559064, buy_count: 9
user_id: 100570607, buy_count: 7
user_id: 100605176, buy_count: 8
user_id: 100617828, buy_count: 33
user_id: 100625191, buy_count: 8
user_id: 100628422, buy_count: 3
user_id: 100632766, buy_count: 8
user_id: 100633536, buy_count: 3
user_id: 100637858, buy_count: 37
user_id: 10064430, buy_count: 2
user_id: 100644641, buy_count: 12
user_id: 100650188, buy_count: 5
user_id: 100674178, buy_count: 5
user_id: 10068052, buy_count: 4
user_id: 100684618, buy_count: 27
user_id: 100690180, buy_count: 6
user_id: 100701928, buy_count: 4
user_id: 100737108, buy_count: 8
user_id: 100742887, buy_count: 37
user_id: 100745953, buy_count: 1
user_id: 10075065, buy_count: 1
user_id: 100753537, buy_count: 10
user_id: 100757305, buy_count: 7
user_id: 100772562, buy_count: 10
user_id: 100816273, buy_count: 151
user_id: 100817523, buy_count: 9
user_id: 100833741, buy_count: 3
user_id: 100853561, buy_count: 33
user_id: 100854241, buy_count: 5
user_id: 100862503, buy_count: 20
user_id: 100870297, buy_count: 25
user_id: 100871846, buy_count: 24
user_id: 100874047, buy_count: 12
user_id: 100875707, buy_count: 9
user_id: 100876687, buy_count: 10
user_id: 100896290, buy_count: 15
user_id: 100915219, buy_count: 2
user_id: 100917596, buy_count: 39
user_id: 100917601, buy_count: 7
user_id: 100929958, buy_count: 28
user_id: 100968525, buy_count: 15
user_id: 101010836, buy_count: 4
user_id: 101016413, buy_count: 3
user_id: 101050024, buy_count: 14
user_id: 101061002, buy_count: 51
user_id: 101120745, buy_count: 8
user_id: 101122114, buy_count: 18
user_id: 101150402, buy_count: 16
user_id: 101190507, buy_count: 19
user_id: 10120410, buy_count: 8
user_id: 101250285, buy_count: 17
user_id: 101256206, buy_count: 42
user_id: 101256818, buy_count: 22
user_id: 101257188, buy_count: 16
user_id: 101260672, buy_count: 3
user_id: 101287551, buy_count: 13
user_id: 101304117, buy_count: 24
user_id: 101305944, buy_count: 11
user_id: 101310254, buy_count: 2
user_id: 10131505, buy_count: 1
user_id: 101361390, buy_count: 16
user_id: 101392927, buy_count: 1
user_id: 101403291, buy_count: 8
user_id: 101406137, buy_count: 5
user_id: 10141023, buy_count: 1
user_id: 101435898, buy_count: 10
user_id: 101437780, buy_count: 8
user_id: 101449182, buy_count: 3
user_id: 101456770, buy_count: 30
user_id: 101461439, buy_count: 58
user_id: 101466976, buy_count: 27
user_id: 10149605, buy_count: 15
user_id: 101503683, buy_count: 2
user_id: 101504942, buy_count: 3
user_id: 101508404, buy_count: 35
user_id: 101511260, buy_count: 21
user_id: 101532356, buy_count: 32
user_id: 101534361, buy_count: 13
user_id: 101538639, buy_count: 28
user_id: 101560598, buy_count: 13
user_id: 101570549, buy_count: 6
user_id: 101601722, buy_count: 16
user_id: 101615370, buy_count: 2
user_id: 10164041, buy_count: 1
user_id: 101664376, buy_count: 56
user_id: 101682609, buy_count: 10
user_id: 101685919, buy_count: 6
user_id: 101689479, buy_count: 12
user_id: 101698393, buy_count: 15
user_id: 101708064, buy_count: 15
user_id: 101719830, buy_count: 1
user_id: 101734993, buy_count: 14
user_id: 101748138, buy_count: 35
user_id: 101777748, buy_count: 2
user_id: 101778477, buy_count: 14
user_id: 101781721, buy_count: 4
user_id: 101798575, buy_count: 1
user_id: 101828235, buy_count: 29
user_id: 101828853, buy_count: 6
user_id: 101833065, buy_count: 2
user_id: 10184170, buy_count: 18
user_id: 101854346, buy_count: 12
user_id: 101857968, buy_count: 16
user_id: 10187137, buy_count: 7
user_id: 101898979, buy_count: 10
user_id: 101899044, buy_count: 12
user_id: 101903161, buy_count: 21
user_id: 101910216, buy_count: 6
user_id: 10191206, buy_count: 15
user_id: 101970196, buy_count: 1
user_id: 1019952, buy_count: 9
user_id: 102011432, buy_count: 12
user_id: 102014015, buy_count: 42
user_id: 102028300, buy_count: 14
user_id: 102033461, buy_count: 50
user_id: 102033644, buy_count: 7
user_id: 102036262, buy_count: 7
user_id: 102042828, buy_count: 66
user_id: 102049484, buy_count: 4
user_id: 102050588, buy_count: 7
user_id: 102057111, buy_count: 15
user_id: 102064914, buy_count: 54
user_id: 102079739, buy_count: 19
user_id: 10211498, buy_count: 18
user_id: 102139569, buy_count: 10
user_id: 102157365, buy_count: 5
user_id: 102167269, buy_count: 3
user_id: 102168278, buy_count: 5
user_id: 102178411, buy_count: 7
user_id: 10218711, buy_count: 2
user_id: 10219075, buy_count: 11
user_id: 102244291, buy_count: 14
user_id: 1022699, buy_count: 25
user_id: 102281568, buy_count: 5
user_id: 1022919, buy_count: 5
user_id: 102303177, buy_count: 7
user_id: 102339954, buy_count: 1
user_id: 102350790, buy_count: 31
user_id: 102366872, buy_count: 13
user_id: 102404735, buy_count: 3
user_id: 102417042, buy_count: 8
user_id: 102418389, buy_count: 10
user_id: 102429532, buy_count: 2
user_id: 102434210, buy_count: 1
user_id: 102442034, buy_count: 2
user_id: 102456563, buy_count: 2
user_id: 102477155, buy_count: 13
user_id: 102499292, buy_count: 2
user_id: 102550958, buy_count: 8
user_id: 102557821, buy_count: 3
user_id: 102629009, buy_count: 29
user_id: 102663288, buy_count: 55
user_id: 102689410, buy_count: 11
user_id: 102690418, buy_count: 4
user_id: 102712222, buy_count: 45
user_id: 102727427, buy_count: 18
user_id: 102758797, buy_count: 15
user_id: 102767670, buy_count: 1
user_id: 102814676, buy_count: 3
user_id: 102825286, buy_count: 126
